Iocode,event,medal,medalist
NZL,Cycling at the 2012 Summer Olympics – Men's team pursuit,3,Jesse Sergent;Westley Gough;Marc Ryan;Sam Bewley;Aaron Gate
RUS,Boxing at the 2012 Summer Olympics – Men's light flyweight,3,David Ayrapetyan
JPN,Swimming at the 2012 Summer Olympics – Men's 400 metre individual medley,3,Kosuke Hagino
HUN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Katinka Hosszú
IRL,Boxing at the 2012 Summer Olympics – Men's flyweight,3,Michael Conlan
RUS,Gymnastics at the 2012 Summer Olympics – Women's uneven bars,1,Aliya Mustafina
BRA,Judo at the 2012 Summer Olympics – Women's 78 kg,3,Mayra Aguiar
NZL,Canoeing at the 2012 Summer Olympics – Women's K-1 200 metres,1,Lisa Carrington
CHN,Badminton at the 2012 Summer Olympics – Mixed doubles,1,Zhang Nan;Zhao Yunlei
AUS,Rowing at the 2012 Summer Olympics – Women's double sculls,2,Brooke Pratley;Kim Crow
TUR,Taekwondo at the 2012 Summer Olympics – Women's 67 kg,2,Nur Tatar
USA,Shooting at the 2012 Summer Olympics - Women's 50 metre rifle; three positions,1,Jamie (Beyerle) Gray
ROU,Weightlifting at the 2012 Summer Olympics – Men's 69 kg,3,R?zvan Martin
DOM,Athletics at the 2012 Summer Olympics – Men's 400 metres,2,Luguelín Santos
NED,Field hockey at the 2012 Summer Olympics – Men's tournament,2,Robbert Kemperman;Marcel Balkestein;Floris Evers;Rogier Hofman;Bob de Voogd;Klaas Vermeulen;Sander de Wijn;Sander Baart;Wouter Jolie;Valentin Verga;Jaap Stockmann;Teun de Nooijer;Billy Bakker;Robert van der Horst;Roderick Weusthof;Tim Jenniskens;Mink van der Weerden
GER,Canoeing at the 2012 Summer Olympics – Men's K-1 1000 metres,3,Max Hoff
VEN,Fencing at the 2012 Summer Olympics - Men's Épée; Individual,1,Rubén Limardo
NZL,Rowing at the 2012 Summer Olympics – Men's coxless pair,1,Hamish Bond;Eric Murray
GER,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Martin Koch
USA,Athletics at the 1972 Summer Olympics – Men's 100 metres,2,Robert Taylor
TCH,Athletics at the 1988 Summer Olympics - Men's javelin throw,2,Jan Železný
BEL,Cycling at the 2000 Summer Olympics - Men's cross-country,2,Filip Meirhaeghe
AZE,Shooting at the 2004 Summer Olympics - Women's 25 metre Pistol,3,Irada Ashumova
USA,Athletics at the 1964 Summer Olympics - Men's pole vault,1,Fred Hansen
GDR,Athletics at the 1972 Summer Olympics - Men's High Jump,2,Stefan Junge
ITA,Fencing at the 1984 Summer Olympics - Women's Foil; Individual,3,Dorina Vaccaroni
USA,Weightlifting at the 1968 Summer Olympics - Men's Heavyweight +90 kg,3,Joseph Dube
URS,Swimming at the 1972 Summer Olympics - Women's 200 metre breaststroke,3,Galina Prozumenshchikova
USA,Swimming at the 2004 Summer Olympics - Men's 200 metre individual medley,1,Michael Phelps
USA,Swimming at the 1972 Summer Olympics - Men's 200 metre butterfly,2,Gary Hall; Sr.
ETH,Athletics at the 2004 Summer Olympics - Women's 10;000 metres,3,Derartu Tulu
CHN,Swimming at the 2004 Summer Olympics - Women's 100 metre breaststroke,1,Luo Xuejuan
FRA,Cycling at the 2004 Summer Olympics - Men's 1000m Time Trial,2,Arnaud Tournant
GDR,Swimming at the 1972 Summer Olympics - Men's 200 metre backstroke,1,Roland Matthes
CAN,Short Track Speed Skating at the 2006 Winter Olympics - Women's 3000 m relay,2,Tania Vicent;Kalyna Roberge;Alanna Kraus;Anouk Leblanc-Boucher;Amanda Overland
USA,Gymnastics at the 2004 Summer Olympics - Women's Balance Beam,2,Carly Patterson
USA,Athletics at the 1968 Summer Olympics - Men's 110 metre hurdles,2,Ervin Hall
BUL,Short Track Speed Skating at the 2002 Winter Olympics – Women's 500m,2,Evgenia Radanova
CAN,Short Track Speed Skating at the 2006 Winter Olympics – Men's 500m,2,François-Louis Tremblay
JPN,Gymnastics at the 1964 Summer Olympics - Men's pommel horse,2,Shuji Tsurumi
GER,Cycling at the 2000 Summer Olympics - Men's individual road race,3,Andreas Klöden
ROU,Boxing at the 2000 Summer Olympics - Welterweight,3,Dorel Simion
JPN,Wrestling at the 1988 Summer Olympics - Men's freestyle Light Flyweight,1,Takashi Kobayashi
ITA,Canoeing at the 1996 Summer Olympics - Men's K-1 1000 metres,2,Beniamino Bonomi
GBR,Shooting at the 1984 Summer Olympics - Men's 50 metre rifle; three positions,3,Alister Millar Allan
UZB,Wrestling at the 2004 Summer Olympics - Men's Freestyle Super Heavyweight,1,Artur Taymazov
POL,Weightlifting at the 1964 summer Olympics - Men's Lightweight 60-67.5 kg,3,Marian Zieli?ski
CAN,Ice hockey at the 2006 Winter Olympics – Women’s Team,1,Katie Weatherston;Jennifer Botterill;Cheryl Pounder;Carla MacLeod;Gina Kingsbury;Cherie Piper;Sarah Vaillancourt;Jayna Hefford;Becky Kellar;Charline Labonté;Cassie Campbell;Vicky Sunohara;Caroline Ouellette;Colleen Sostorics;Danielle Goyette;Meghan Agosta;Hayley Wickenheiser;Gillian Ferrari;Gillian Apps;Kim St-Pierre
URS,Gymnastics at the 1968 Summer Olympics – Men's vault,1,Mikhail Voronin
URS,Gymnastics at the 1964 Summer Olympics - Men's pommel horse,3,Yuri Tsapenko
GER,Cycling at the 2000 Summer Olympics - Men's 1000m Time Trial,2,Stefan Nimke
JPN,Judo at the 1988 Summer Olympics - Men's Half Lightweight (65kg),3,Yosuke Yamamoto
URS,Weightlifting at the 1972 Summer Olympics - Men's Lightweight 60-67.5 kg,1,Mukharbi Kirzhinov
GDR,Athletics at the 1972 Summer Olympics - Women's 100 metres,1,Renate Stecher
ITA,Shooting at the 1984 Summer Olympics - Trap,1,Luciano Giovannetti
FIN,Ski jumping at the 2002 Winter Olympics - Team Competition,2,Janne Ahonen;Risto Jussilainen;Veli-Matti Lindström;Matti Hautamäki
USA,Swimming at the 2000 Summer Olympics - Men's 50 metre freestyle,1,Anthony Ervin
CHN,Weightlifting at the 2004 Summer Olympics - Women's +75 kg,1,Tang Gonghong
POL,Athletics at the 2000 Summer Olympics - Men's hammer throw,1,Szymon Zió?kowski
USA,Athletics at the 2004 Summer Olympics - Men's Long Jump,1,Dwight Phillips
RUS,Boxing at the 2000 Summer Olympics Middleweight,2,Gaidarbek Gaidarbekov
USA,Shooting at the 1972 Summer Olympics - Men's 50 metre rifle; prone,2,Victor Lee Auer
URS,Equestrian at the 1964 Summer Olympics - Dressage; Individual,3,Sergei Filatov
FRA,Cycling at the 2000 Summer Olympics - Men's cross-country,,Ludovic Dubau
RUS,Wrestling at the 2004 Summer Olympics - Men's Freestyle Lightweight,3,Makhach Murtazaliev
USA,Swimming at the 2004 Summer Olympics - Women's 100 metre backstroke,1,Natalie Coughlin
JPN,Wrestling at the 1984 Summer Olympics - Men's freestyle Light Flyweight,2,Takashi Irie
BAR,Athletics at the 2000 Summer Olympics – Men's 100 metres,3,Obadele Thompson
LTU,Cycling at the 2000 Summer Olympics - Women's individual road race,3,Diana Žili?t?
GBR,Canoeing at the 2000 Summer Olympics - Men's K-1 1000 metres,3,Tim Brabants
BLR,Wrestling at the 2008 Summer Olympics - Men's Freestyle Welterweight,3,Murad Gaidarov
USA,Shooting at the 1896 Summer Olympics - Men's free pistol,1,Sumner Paine
FIN,Biathlon at the 1998 Winter Olympics - Men's 10 km Sprint,3,Ville Räikkönen
USA,Boxing at the 1988 Summer Olympics - Light Middleweight,2,Roy Jones Jr.
GBR,Swimming at the 2008 Summer Olympics - Women's 10 kilometre,2,Keri-Anne Payne
USA,Boxing at the 1988 Summer Olympics - Super Heavyweight,2,Riddick Bowe
USA,Cycling at the 1988 Summer Olympics - Women's Sprint,3,Connie Paraskevin
CAN,Athletics at the 1932 Summer Olympics - Men's high jump,1,Duncan McNaughton
CAN,Rowing at the 1996 Summer Olympics - Women's Single Sculls,2,Silken Laumann
USA,Swimming at the 1988 Summer Olympics - Men's 50 metre freestyle,2,Tom Jager
CAN,Shooting at the 1908 Summer Olympics - Trap,1,Walter Ewing
GBR,Athletics at the 1932 Summer Olympics - Men's 110 metre hurdles,3,Donald Finlay
BUL,Cycling at the 1952 Summer Olympics - Men's individual road race,,Petar Georgiev
URS,Gymnastics at the 1980 Summer Olympics – Men's pommel horse,2,Alexander Dityatin
USA,Wrestling at the 2008 Summer Olympics - Men's Greco-Roman Heavyweight,3,Adam Wheeler
JPN,Athletics at the 1932 Summer Olympics - Men's triple jump,1,Chuhei Nambu
CAN,Swimming at the 1996 Summer Olympics - Men's 200 metre individual medley,3,Curtis Myden
KOR,Boxing at the 1968 Summer Olympics - Light Flyweight,2,Yong-Ju Chi
POL,Weightlifting at the 1968 summer Olympics - Men's Lightweight 60-67.5 kg,3,Marian Zieli?ski
GER,Gymnastics at the 1896 Summer Olympics - Men's rope climbing,3,Fritz Hoffmann
GBR,Athletics at the 1952 Summer Olympics – Men's 100 metres,3,Emmanuel McDonald Bailey
GBR,Shooting at the 1908 Summer Olympics - Men's double-shot running deer,2,Ted Ranken
FIN,Athletics at the 1936 Summer Olympics – Men's 5000 metres,1,Gunnar Höckert
URS,Athletics at the 1976 Summer Olympics - Men's Triple Jump,1,Viktor Saneyev
FRA,Cycling at the 1964 Summer Olympics - Men's sprint,3,Daniel Morelon
TCH,Gymnastics at the 1924 Summer Olympics – Men's rings,3,Ladislav Vácha
USA,Alpine skiing at the 1948 Winter Olympics - Women's combined,2,Gretchen Fraser
GBR,Archery at the 1908 Summer Olympics - Women's double National round,1,Queenie Newall
YUG,Gymnastics at the 1924 Summer Olympics – Men's artistic individual all-around,1,Leon Štukelj
USA,Weightlifting at the 1904 Summer Olympics - Men's two hand lift,3,Frank Kungler
USA,Athletics at the 1904 Summer Olympics - Men's 200 metres,1,Archie Hahn
URS,Wrestling at the 1976 Summer Olympics - Men's freestyle Light Heavyweight,1,Levan Tediashvili
ITA,Cycling at the 1952 Summer Olympics - Men's individual road race,,Dino Bruni
CHN,Weightlifting at the 1992 Summer Olympics - Men's Bantamweight 52-56 kg,2,Liu Shoubin
HUN,Weightlifting at the 1976 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,3,Péter Baczakó
AUS,Swimming at the 2008 Summer Olympics - Women's 100 metre butterfly,1,Libby Lenton
SWE,Diving at the 1912 Summer Olympics - Men's plain high diving,3,John Jansson
FRA,Alpine Skiing at the 1968 Winter Olympics - Men's Downhill,2,Guy Périllat
URS,Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Bantamweight,3,Artem Teryan
NOR,Speed skating at the 1924 Winter Olympics - Men's all-round,2,Roald Larsen
KOR,Boxing at the 1984 Summer Olympics - Lightweight,3,Chun Chil-Sung
URS,Cross Country Skiing at the 1984 Winter Olympics -Women's 10km,2,Raisa Smetanina
RUS,Shooting at the 1996 Summer Olympics - Women's 25 metre pistol,3,Marina Dobrancheva
GER,Canoeing at the 1992 Summer Olympics - Women's slalom K-1,1,Elisabeth Micheler-Jones
FIN,Athletics at the 1920 Summer Olympics - Men's 10000 metres,1,Paavo Nurmi
YUG,Wrestling at the 1968 Summer Olympics - Men's Greco-Roman Middleweight,3,Branislav Simi?
SWE,Modern Pentathlon at the 1924 Summer Olympics - Men's Individual,1,Bo Lindman
ITA,Fencing at the 1960 Summer Olympics - Men's Épée; Individual,1,Giuseppe Delfino
WGE,Swimming at the 1988 Summer Olympics – Men's 200 metre butterfly,1,Michael Gross
NED,Speed Skating at the 2002 Winter Olympics - Men's 10000m,1,Jochem Uytdehaage
USA,Wrestling at the 1904 Summer Olympics - Men's freestyle featherweight,1,Benjamin Bradshaw
GER,Diving at the 1904 Summer Olympics - Platform,2,Georg Hoffmann
POL,Shooting at the 1976 Summer Olympics - Men's 50 metre running target,3,Jerzy Greszkiewicz
HUN,Wrestling at the 1956 Summer Olympics - Men's Greco-Roman Featherweight,2,Imre Polyák
KOR,Judo  at the 1976 Summer Olympics - Men's Lightweight (63kg),2,Eun-Kyung Chang
SUI,Alpine Skiing at the 1976 Winter Olympics - Men's Giant Slalom,1,Heini Hemmi
USA,Athletics at the 1900 Summer Olympics - Men's standing triple jump,1,Ray Ewry
GBR,Cycling at the 2008 Summer Olympics - Men's sprint,2,Jason Kenny
FRA,Swimming at the 1900 Summer Olympics - Men's 4000 metre freestyle,3,Louis Martin
GER,Athletics at the 1936 Summer Olympics – Men's javelin throw,1,Gerhard Stöck
YUG,Wrestling at the 1964 summer Olympics - Men's Greco-Roman Middleweight,1,Branislav Simi?
URS,Speed Skating at the 1980 Winter Olympics - Women's 500m,3,Natalya Petruseva
CAN,Swimming at the 1972 Summer Olympics - Women's 400 metre individual medley,2,Leslie Cliff
ITA,Wrestling at the 1932 Summer Olympics - Men's Greco-Roman Light Heavyweight,3,Mario Gruppioni
GBR,Boxing at the 1972 Summer Olympics - Light Flyweight,3,Ralph Evans
FIN,Athletics at the 1976 Summer Olympics - Men's Pole Vault,2,Antti Kalliomäki
URS,Cross Country Skiing at the 1976 Winter Olympics - Women's 5km,3,Nina Baldycheva
AUT,Ski Jumping at the 1976 Winter Olympics - Large Hill,1,Karl Schnabl
NOR,Speed Skating at the 1992 Winter Olympics - Men's 1500m,1,Johann Olav Koss
TUR,Wrestling at the 1948 Summer Olympics - Men's Freestyle Flyweight,2,Halit Balamir
AUS,Freestyle skiing at the 2006 Winter Olympics – Men's moguls,1,Dale Begg-Smith
ITA,Boxing at the 1932 Summer Olympics - Men's heavyweight,2,Luigi Rovati
GBR,Athletics at the 1908 Summer Olympics - Men's 3200 metre steeplechase,2,Archie Robertson
MAR,Athletics at the 1996 Summer Olympics - Men's 10000 metres,3,Salah Hissou
FIN,Cross Country Skiing at the 1988 Winter Olympics - Women's 5km,1,Marjo Matikainen-Kallström
CUB,Boxing at the 1972 Summer Olympics - Bantamweight,1,Orlando Martínez
JPN,Wrestling at the 1976 Summer Olympics - Men's Freestyle Welterweight,1,Jiichiro Date
USA,Figure Skating at the 1980 Winter Olympics - Women's Singles,2,Linda Fratianne
URS,Cross Country Skiing at the 1992 Winter Olympics - Women's 30 km freestyle,3,Yelena Välbe
SUI,Shooting at the 1960 Summer olympics - Men's 300 metre rifle; three positions,2,Hans Rudolf Spillmann
ROU,Fencing at the 1968 Summer Olympics - Men's Foil; Individual,1,Ion Drimba
JPN,Cycling at the 2004 Summer Olympics - Men's individual road race,,Yasutaka Tashiro
USA,Athletics at the 1960 Summer Olympics - Men's discus throw,2,Rink Babka
GER,Athletics at the 1952 Summer Olympics - Men's Hammer Throw,2,Karl Storch
GER,Luge at the 1964 Winter Olympics - Men's Singles,3,Hans Plenk
KAZ,Speed Skating at the 1998 Winter Olympics – Women’s 5000m,3,Lyudmila Prokasheva
GER,Equestrian at the 1928 Summer Olympics - Individual Eventing,3,Bruno Neumann
USA,Speed Skating at the 1980 Winter Olympics - Men's 10000m,1,Eric Heiden
POL,Weightlifting at the 1960 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,1,Ireneusz Pali?ski
AUT,Alpine Skiing at the 1956 Winter Olympics - Men's Giant Slalom,3,Walter Schuster
GBR,Swimming at the 1912 Summer Olympics - Men's 1500 metre freestyle,2,Jack Hatfield
USA,Swimming at the 1924 Summer Olympics - Men's 200 metre breaststroke,3,William Kirschbaum
FIN,Ski Jumping at the 1984 Winter Olympics - Normal Hill,3,Jari Puikkonen
USA,Swimming at the 1924 Summer Olympics - Men's 400 metre freestyle,1,Johnny Weissmuller
GBR,Athletics at the 1948 Summer Olympics - Men's 50 km Walk,3,Tebbs Lloyd-Johnson
AUS,Athletics at the 1956 Summer Olympics - Women's 80m Hurdles,3,Norma Thrower
NED,Swimming at the 2008 Summer Olympics - Men's 10 kilometre,1,Maarten van der Weijden
HUN,Wrestling at the 1948 Summer Olympics - Men's Greco-Roman Featherweight,3,Ferenc Tóth
USA,Athletics at the 1948 Summer Olympics - Men's pole vault,1,Guinn Smith
NED,Swimming at the 2000 Summer Olympics - Men's 200 metre freestyle,1,Pieter van den Hoogenband
KOR,Taekwondo at the 2004 Summer Olympics - Women's 67 kg,3,Kyung Sun Hwang
GER,Shooting at the 2004 Summer Olympics - Men's 50 metre rifle; prone,2,Christian Lusch
USA,Athletics at the 1968 Summer Olympics - Men's 1500 metres,2,Jim Ryun
KOR,Gymnastics at the 2000 Summer Olympics – Men's Horizontal Bar,3,Joo Hyung Lee
KAZ,Boxing at the 2000 Summer Olympics - Flyweight,2,Bulat Jumadilov
USA,Boxing at the 1984 Summer Olympics - Heavyweight,1,Henry Tillman
RUS,Cycling at the 2000 Summer Olympics - Men's points race,3,Alexei Markov
AUT,Judo at the 1988 Summer Olympics - Men's Middleweight (86kg),1,Peter Seisenbacher
ITA,Athletics at the 1996 Summer Olympics - Women's Long Jump,2,Fiona May
GRE,Gymnastics at the 2004 Summer Olympics - Men's rings,1,Dimosthenis Tampakos
USA,Swimming at the 1984 Summer Olympics - Women's 100 metre butterfly,2,Jenna Johnson
USA,Gymnastics at the 1984 Summer Olympics – Women's vault,2,Mary Lou Retton
URS,Modern Pentathlon at the 1988 Summer Olympics - Men's Individual,3,Vakhtang Yagorashvili
RUS,Athletics at the 2000 Summer Olympics - Men's javelin throw,3,Sergey Alexandrovich Makarov
NED,Judo at the 2004 Summer Olympics - Women's 57 kg,3,Deborah Gravenstijn
CUB,Athletics at the 2004 Summer Olympics - Women's Javelin Throw,1,Osleidys Menéndez
USA,Canoeing at the 2004 Summer Olympics - Women's slalom K-1,2,Rebecca Giddens
DEN,Athletics at the 2004 Summer Olympics - Men's 800 metres,3,Wilson Kipketer
BUL,Shooting at the 2000 Summer Olympics - Women's 25 metre pistol,1,Maria Grozdeva
USA,athletics at the 1968 Summer Olympics - Men's Decathlon,1,Bill Toomey
MAR,Athletics at the 1988 Summer Olympics - Men's 10000 metres,1,Brahim Boutayeb
CAN,Swimming at the 1984 Summer Olympics - Men's 200 metre breaststroke,1,Victor Davis
CAN,Bobsleigh at the 1998 Winter Olympics - Two Man Bobsleigh,1,Pierre Lueders
SWE,Biathlon at the 2006 Winter Olympics – Women's sprint,2,Anna Carin Olofsson
BRA,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,2,Adriana Behar;Shelda Bede
AUS,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,1,Nicole Sanderson
FRA,Volleyball at the 1988 Summer Olympics - Men's volleyball,,
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Iris Fuentes-Pila
,Athletics at the 2004 Summer Olympics - Men's 1;500 metres,,Isaac Songok
CHN,Volleyball at the 1988 Summer Olympics - Women's volleyball,3,Hong Zhao;Dan Wu;Hou Yuzhu;Yang Xiaojun;Yong-Mei Cui;Su Huijuan;Yue-Ming Li;Zheng Meizhu;Guo-Jun Li;Yang Xilan;Jiang Ying;Ya-Jun Wang
ITA,Equestrian at the 1964 Summer Olympics - Individual eventing,1,Mauro Checcoli
KEN,Athletics at the 2000 Summer Olympics - Men's 3000 metre steeplechase,1,Reuben Kosgei
SWE,Ice hockey at the 2002 Winter Olympics – Women’s Team,3,Gunilla Andersson
URS,Shooting at the 1988 Summer Olympics - Trap,1,Dmitry Monakov
ISL,Handball at the 2008 Summer Olympics - Men's tournament,2,Logi Geirsson;Guðmundur Guðmundsson;Róbert Gunnarsson;Guðjón Valur Sigurðsson;Snorri Guðjónsson;Sverre Andreas Jakobsson;Ólafur Stefánsson;Sigfús Sigurðsson;Sturla Ásgeirsson;Hreiðar Guðmundsson;Ingimundur Ingimundarson;Björgvin Páll Gustavsson;Ásgeir Örn Hallgrímsson;Arnór Atlason
NED,Cycling at the 2000 Summer Olympics - Women's Individual Pursuit,1,Leontien van Moorsel
QAT,Weightlifting at the 2000 Summer Olympics - Men's Heavyweight 94 - 105 kg,3,Said Saif Asaad
NOR,Shooting at the 1988 Summer Olympics - Men's 50 metre running target,1,Tor Heiestad
USA,Wrestling at the 1984 Summer Olympics - Men's Greco-Roman Super Heavyweight,1,Jeff Blatnick
USA,Swimming at the 1964 Summer Olympics – Men's 200 metre butterfly,2,Carl Robie
USA,Equestrian at the 1984 Summer Olympics - Jumping; Individual,2,Conrad Homfeld
ROU,Athletics at the 1984 Summer Olympics - Women's Discus Throw,3,Florenta Craciunescu
GDR,Athletics at the 1972 Summer Olympics - Women's Javelin Throw,1,Ruth Fuchs
PRK,Wrestling at the 2000 Summer Olympics - Men's Greco-Roman Flyweight,3,Kang Yong-Gyun
KOR,Badminton at the 1996 Summer Olympics - Women's Singles,1,Bang Soo-hyun
